ENT_FED,CULTIVO,DESCRIPCION,UP_TOTAL,UP_AGCA,TON_AGCA_CUL,UP_SEMILLA,TON_SEMILLA_CUL,UP_CONSFAM,TON_CONSFAM_CUL,UP_CONSANIM,TON_CONSANIM_CUL,UP_VENTA,TON_VENTA_CUL
10 DGO,Uva,Uva,17.0,17.0,31.7813,1.0,0.006,2.0,0.0306,1.0,0.0014,3.0,31.7433
11 GTO,,Guanajuato,17043.0,10888.0,,4274.0,,6012.0,,4135.0,,6352.0,
11 GTO,Anuales,Anuales,,,,,,,,,,,
11 GTO,Amaranto,Amaranto,,,10.235,,1.0,0.0,0.0,0.0,0.0,,9.235
11 GTO,Avena forrajera,Avena forrajera,3238.0,3238.0,147730.5281,360.0,135.413504,530.0,39.5163,2466.0,72190.3856,997.0,75365.2127
11 GTO,Brócoli,Brócoli,731.0,711.0,344709.8278,311.0,108.3256758,314.0,17.9748201,316.0,96.602,696.0,344486.9253
11 GTO,Calabaza/calabacita,Calabaza/calabacita,1721.0,1712.0,5309.3413,656.0,76.9425696,941.0,1024.0195987,269.0,344.8439,585.0,3863.5353
11 GTO,Cebada grano,Cebada grano,1574.0,1574.0,64357.0663,233.0,122.9886267,131.0,24.582752,380.0,604.3108,1447.0,63605.1841
11 GTO,Cebolla,Cebolla,1276.0,1252.0,201199.4284,211.0,39.2963758,412.0,136.8120032,108.0,23.9769,1146.0,200999.343
11 GTO,Chile,Chile,932.0,850.0,46866.7053,355.0,30.8721812,454.0,51.2583589,145.0,0.6586,771.0,46783.9161
